REF_DATE,GEO,Fuel type,VALUE
Apr-22,Ontario,Battery electric,7875
Jul-22,Ontario,Battery electric,9716
Oct-22,Ontario,Battery electric,9506
Jan-23,Ontario,Battery electric,6760
Apr-23,Ontario,Battery electric,9486
Jul-23,Ontario,Battery electric,11458
Oct-23,Ontario,Battery electric,10931
Jan-24,Ontario,Battery electric,8144
Apr-24,Ontario,Battery electric,10462
Jul-24,Ontario,Battery electric,11771
Oct-24,Ontario,Battery electric,11282
Jan-25,Ontario,Battery electric,8450
Apr-25,Ontario,Battery electric,7531
Apr-22,Ontario,Plug-in hybrid electric,1659
Jul-22,Ontario,Plug-in hybrid electric,1297
Oct-22,Ontario,Plug-in hybrid electric,1485
Jan-23,Ontario,Plug-in hybrid electric,1760
Apr-23,Ontario,Plug-in hybrid electric,3311
Jul-23,Ontario,Plug-in hybrid electric,3252
Oct-23,Ontario,Plug-in hybrid electric,3174
Jan-24,Ontario,Plug-in hybrid electric,2882
Apr-24,Ontario,Plug-in hybrid electric,3908
Jul-24,Ontario,Plug-in hybrid electric,4175
Oct-24,Ontario,Plug-in hybrid electric,3969
Jan-25,Ontario,Plug-in hybrid electric,3556
Apr-25,Ontario,Plug-in hybrid electric,4164
