num_units,FSA,SITE_ADDRESS,PHEV_Count,BEV_Count,Total_EV_Pop,Population,Average_Household_Size,num_residents,ev_adoption_rate,Predicted EV Owners Per Building
35,M6K,301  LANSDOWNE AVE ,99,289,388,42110,1.852943765,64.85303178,0.009213963,0.597553463
12,M6K,1505  DUNDAS ST W,99,289,388,42110,1.852943765,22.23532518,0.009213963,0.204875473
19,M6H,156  BRANDON AVE ,140,232,372,43730,2.270037375,43.13071013,0.008506746,0.366901993
15,M6H,109  GLENHOLME AVE ,140,232,372,43730,2.270037375,34.05056063,0.008506746,0.289659468
106,M5V,679  QUEENS QUAY  W,147,700,847,59912,1.612054352,170.8777613,0.014137402,2.415767523
10,M6J,15  GORE VALE AVE ,95,290,385,32111,2.077978386,20.77978386,0.011989661,0.249142561
22,M6J,14  RUSHOLME DR ,95,290,385,32111,2.077978386,45.71552449,0.011989661,0.548113635
226,M6H,323  RUSHOLME RD ,140,232,372,43730,2.270037375,513.0284468,0.008506746,4.364202657
18,M6H,1  HAVELOCK ST ,140,232,372,43730,2.270037375,40.86067275,0.008506746,0.347591362
61,M5R,34  WALMER RD ,134,390,524,26197,1.892163236,115.4219574,0.02000229,2.308703503
35,M5R,50  WALMER RD ,134,390,524,26197,1.892163236,66.22571326,0.02000229,1.324665945
85,M5R,44  WALMER RD ,134,390,524,26197,1.892163236,160.8338751,0.02000229,3.217045865
18,M5R,922  BATHURST ST ,134,390,524,26197,1.892163236,34.05893825,0.02000229,0.681256771
48,M5R,149  ST GEORGE ST ,134,390,524,26197,1.892163236,90.82383533,0.02000229,1.816684724
68,M5R,214  ST GEORGE ST ,134,390,524,26197,1.892163236,128.6671,0.02000229,2.573636692
85,M5R,280  ST GEORGE ST ,134,390,524,26197,1.892163236,160.8338751,0.02000229,3.217045865
196,M5R,50  HILLSBORO AVE ,134,390,524,26197,1.892163236,370.8639943,0.02000229,7.418129289
16,M4E,2453  QUEEN ST E,180,315,495,25473,2.342560235,37.48096376,0.01943234,0.728342836
17,M4E,2269  QUEEN ST E,180,315,495,25473,2.342560235,39.823524,0.01943234,0.773864263
98,M4J,100  UNITY RD ,168,284,452,35128,2.408336761,236.0170026,0.012867228,3.036884684
11,M4L,419  WOODBINE AVE ,166,355,521,32218,2.342956876,25.77252564,0.016171084,0.41676969
55,M4E,5  BENLAMOND AVE ,180,315,495,25473,2.342560235,128.8408129,0.01943234,2.503678499
15,M4E,569  KINGSTON RD ,180,315,495,25473,2.342560235,35.13840353,0.01943234,0.682821409
94,M4L,136  KINGSTON RD ,166,355,521,32218,2.342956876,220.2379463,0.016171084,3.561486438
115,M4L,485  KINGSTON RD ,166,355,521,32218,2.342956876,269.4400407,0.016171084,4.357137663
24,M4E,737  KINGSTON RD ,180,315,495,25473,2.342560235,56.22144564,0.01943234,1.092514254
39,M4W,40  PARK RD ,217,407,624,15296,1.895180275,73.91203073,0.040794979,3.015239747
34,M4W,4  SHERBOURNE ST N,217,407,624,15296,1.895180275,64.43612935,0.040794979,2.628670549
30,M4T,7  HEATH ST E,88,214,302,10332,2.026279663,60.78838989,0.029229578,1.776818984
38,M4S,268  MERTON ST ,141,629,770,30754,1.956485782,74.34645972,0.025037394,1.861441568
192,M4W,40  ASQUITH AVE ,217,407,624,15296,1.895180275,363.8746128,0.040794979,14.84425722
96,M4P,300  EGLINTON AVE E,106,272,378,25057,1.793115786,172.1391155,0.015085605,2.59682267
