Geographic name,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021",Average Household Size
Canada,36991981,16284235,14978941,2.469599219
A0A,44930,26102,19752,2.274706359
A0B,19287,13265,9100,2.119450549
A0C,11972,8069,5610,2.134046346
A0E,21209,12623,9741,2.177291859
A0G,33316,21177,14992,2.222251868
A0H,16743,10841,7605,2.201577909
A0J,7497,4696,3430,2.185714286
A0K,24659,14914,11017,2.238268131
A0L,7503,3871,3262,2.300122624
A0M,5468,2958,2540,2.152755906
A0N,12387,7581,5977,2.07244437
A0P,13058,5176,4661,2.801544733
A0R,2661,1401,1056,2.519886364
A1A,30086,13520,12671,2.374398232
A1B,20906,10326,9079,2.302676506
A1C,12713,7562,6641,1.914320133
A1E,26858,14123,12833,2.092885529
A1G,5808,2741,2544,2.283018868
A1H,6469,2530,2439,2.652316523
A1K,12348,4968,4670,2.644111349
A1L,22959,9332,8814,2.60483322
A1M,8405,3354,3167,2.653931165
A1N,22478,10686,9932,2.26318969
A1S,6103,2557,2433,2.508425812
A1V,11890,5429,5073,2.3437808
A1W,11179,4668,4431,2.522906793
A1X,15945,6676,6260,2.547124601
A1Y,5436,2745,2429,2.237958007
A2A,9277,4406,4091,2.267660719
A2B,4739,2293,2099,2.257741782
A2H,25290,12658,11325,2.233112583
A2N,8613,4349,4052,2.125616979
A2V,7447,3387,3089,2.410812561
A5A,8436,4161,3575,2.35972028
A8A,6475,4039,2863,2.261613692
B0C,2748,1808,1235,2.225101215
B0E,25919,14977,11613,2.23189529
B0H,9796,5595,4410,2.221315193
B0J,41032,23424,18777,2.185226607
B0K,35141,20031,15903,2.20970886
B0L,2335,1435,1082,2.158040665
B0M,17448,10120,7844,2.224375319
B0N,40484,19211,17411,2.325196715
B0P,41544,19438,17644,2.354568125
B0R,6090,3802,2819,2.160340546
B0S,17873,10114,8445,2.116400237
B0T,14729,9297,6954,2.118061547
B0V,5658,3152,2752,2.055959302
B0W,25890,13895,11887,2.17800959
B1A,14988,7320,6764,2.21584861
B1B,1237,673,574,2.155052265
B1C,1698,914,784,2.165816327
B1E,1533,754,688,2.228197674
B1G,1796,925,848,2.117924528
B1H,9146,4580,4271,2.141418871
B1J,1148,893,573,2.003490401
B1K,3336,2100,1504,2.218085106
B1L,4952,2140,2053,2.412079883
B1M,1271,537,515,2.467961165
B1N,5605,2670,2487,2.253719341
B1P,14704,7580,6982,2.105986823
B1R,4478,1967,1892,2.366807611
B1S,8826,3977,3786,2.331220285
B1T,400,332,199,2.010050251
B1V,6088,2928,2733,2.22758873
B1W,3521,1138,1081,3.257169288
B1X,921,607,413,2.230024213
B1Y,5941,2906,2633,2.256361565
B2A,7711,3725,3461,2.227968795
B2C,262,174,132,1.984848485
B2E,54,129,31,1.741935484
B2G,15318,7934,6713,2.281841204
B2H,15332,7692,7050,2.174751773
B2J,67,83,34,1.970588235
B2N,20816,10374,9898,2.103051121
B2R,2553,1058,1029,2.481049563
B2S,8011,3261,3159,2.535929091
B2T,17780,6811,6610,2.689863843
B2V,12252,4734,4669,2.624116513
B2W,33145,14027,13762,2.40844354
B2X,12038,5070,4925,2.444263959
B2Y,15420,8312,7916,1.947953512
B2Z,8335,3378,3256,2.559889435
B3A,21857,11978,11493,1.901766293
B3B,1688,575,568,2.971830986
B3E,7085,2981,2883,2.457509539
B3G,11275,4519,4430,2.545146727
B3H,20788,11609,10154,2.047272011
B3J,9086,6130,5256,1.72869102
B3K,23207,12798,12000,1.933916667
B3L,18409,8823,8411,2.188681489
B3M,37555,17491,16978,2.21198021
B3N,14943,7389,7028,2.126209448
B3P,11389,4881,4706,2.420101997
B3R,9500,4323,4153,2.28750301
B3S,13818,6431,6285,2.198568019
B3T,17777,7098,6841,2.598596696
B3V,6136,2615,2509,2.445595855
B3Z,17841,7150,6715,2.656887565
B4A,18541,7719,7463,2.484389656
B4B,19570,7566,7075,2.766077739
B4C,18425,7743,7583,2.429777133
B4E,19718,7752,7609,2.591404915
B4G,5430,1941,1906,2.848898216
B4H,13723,7582,6383,2.1499295
B4N,18024,8462,8122,2.219157843
B4P,8780,4636,4040,2.173267327
B4R,2858,1198,1175,2.432340426
B4V,20376,10281,9310,2.188614393
B5A,16753,8573,7624,2.197402938
B6L,12989,5596,5354,2.426036608
B9A,4472,2165,1973,2.266599088
C0A,48140,24365,19417,2.479270742
C0B,29902,15557,12414,2.408732077
C1A,25861,13091,12069,2.142762449
C1B,14817,6275,5794,2.557300656
C1C,5239,2308,2216,2.364169675
C1E,12681,5122,4846,2.616797359
C1N,17691,8216,7814,2.264013309
E1A,48336,21632,20536,2.353720296
E1B,20584,8797,8651,2.379378107
E1C,25834,13511,12464,2.072689345
E1E,11936,5578,5340,2.235205993
E1G,24784,9625,9362,2.647297586
E1H,7883,3463,3376,2.335011848
E1J,3736,1493,1451,2.574776017
E1N,11333,5519,5078,2.231784167
E1V,13811,6533,6096,2.26558399
E1W,6940,3616,3283,2.113920195
E1X,14082,6648,6260,2.249520767
E2A,17408,9041,8162,2.132810586
E2E,19840,7799,7605,2.608809993
E2G,5528,2121,2081,2.656415185
E2H,4748,1971,1914,2.480668757
E2J,16058,7698,7417,2.165026291
E2K,18798,8968,8302,2.264273669
E2L,8221,5228,4598,1.787951283
E2M,18836,8653,8256,2.281492248
E2N,4310,1772,1721,2.504357931
E2P,1337,570,556,2.404676259
E2R,10,5,5,2
E2S,6970,2831,2727,2.555922259
E2V,14545,6091,5782,2.515565548
E3A,29462,13097,12701,2.319659869
E3B,39788,18861,17818,2.233022786
E3C,12321,5018,4907,2.510902792
E3E,4719,1808,1770,2.666101695
E3G,9122,3632,3565,2.558765778
E3L,8439,4141,3757,2.24620708
E3N,13467,6640,6186,2.177012609
E3V,12142,6094,5733,2.117913832
E3Y,7113,3233,3102,2.29303675
E3Z,3965,1985,1861,2.13057496
E4A,3001,1752,1472,2.038722826
E4B,4263,2549,2000,2.1315
E4C,2451,1840,1118,2.192307692
E4E,9163,4430,4085,2.243084455
E4G,2714,1178,1108,2.449458484
E4H,4208,2087,1855,2.268463612
E4J,5001,2141,2061,2.426491994
E4K,6398,2602,2500,2.5592
E4L,7746,3785,3362,2.303985723
E4M,1937,1466,901,2.149833518
E4N,3895,1888,1637,2.379352474
E4P,15900,8020,6928,2.295034642
E4R,6883,4013,3085,2.231118314
E4S,7276,3645,3207,2.268787028
E4T,2192,1138,990,2.214141414
E4V,4518,2031,1869,2.417335474
E4W,8603,4195,3738,2.301498127
E4X,3090,1435,1339,2.307692308
E4Y,3059,1526,1395,2.192831541
E4Z,5871,2803,2460,2.386585366
E5A,1622,826,719,2.255910987
E5B,3331,1808,1502,2.21770972
E5C,4356,2146,1876,2.32196162
E5E,949,612,423,2.243498818
E5G,2734,1514,1247,2.192461909
E5H,2912,1326,1227,2.373268134
E5J,2112,1122,945,2.234920635
E5K,7261,3047,2907,2.497764018
E5L,2902,1337,1232,2.355519481
E5M,2170,1079,943,2.30116649
E5N,12263,5222,4892,2.506745707
E5P,2682,1113,1033,2.596321394
E5R,1517,785,688,2.20494186
E5S,1887,1002,837,2.254480287
E5T,3149,1739,1307,2.409334353
E5V,718,475,344,2.087209302
E6A,1237,608,512,2.416015625
E6B,1574,740,662,2.377643505
E6C,2104,952,885,2.37740113
E6E,1492,770,666,2.24024024
E6G,2655,1348,1182,2.246192893
E6H,1216,906,570,2.133333333
E6J,1234,645,566,2.180212014
E6K,4086,2241,1793,2.278862242
E6L,4823,2104,1980,2.435858586
E7A,3705,1949,1724,2.149071926
E7B,5641,2609,2487,2.268194612
E7C,5061,2406,2316,2.185233161
E7E,4097,1949,1828,2.241247265
E7G,3621,1970,1662,2.178700361
E7H,5601,2727,2457,2.27960928
E7J,1904,904,836,2.277511962
E7K,2406,1074,1027,2.342745862
E7L,5099,2389,2174,2.345446182
E7M,10438,4672,4452,2.344564241
E7N,3157,1419,1247,2.531676022
E7P,3471,1537,1438,2.413769124
E8A,3644,1702,1608,2.266169154
E8B,2305,1107,1056,2.182765152
E8C,3699,1884,1721,2.149331784
E8E,5117,2486,2305,2.219956616
E8G,2468,1469,1289,1.914662529
E8J,5624,2663,2494,2.255012029
E8K,8712,4193,3917,2.224151136
E8L,2256,1070,1019,2.213935231
E8M,2021,980,925,2.184864865
E8N,2396,1454,1213,1.975267931
E8P,3408,1680,1520,2.242105263
E8R,3125,1586,1445,2.162629758
E8S,4610,2299,2069,2.228129531
E8T,5713,3016,2669,2.140502061
E9A,2229,1149,1025,2.174634146
E9B,2274,1167,990,2.296969697
E9C,2149,1213,1023,2.100684262
E9E,3870,1932,1715,2.256559767
E9G,5297,2421,2239,2.365788298
E9H,2931,1407,1290,2.272093023
G0A,83411,42396,36334,2.295673474
G0C,45955,23601,21675,2.120184544
G0E,4630,2907,2323,1.993112355
G0G,16315,8853,6959,2.344446041
G0H,10538,5445,4761,2.213400546
G0J,29007,16469,13804,2.101347436
G0K,11722,6581,5396,2.172349889
G0L,60937,32170,27385,2.225196275
G0M,34401,16844,14953,2.300608574
G0N,19994,10918,9097,2.197867429
G0P,6786,3418,2928,2.317622951
G0R,84338,43153,37733,2.235125752
G0S,72494,32475,30343,2.38915071
G0T,13560,7759,6495,2.087759815
G0V,18374,10207,8068,2.277392167
G0W,36541,18298,15134,2.414497159
G0X,60486,33235,27708,2.182979645
G0Y,9320,5875,4362,2.136634571
G0Z,8974,4289,3920,2.289285714
G1B,16698,6762,6626,2.520072442
G1C,36215,16886,16394,2.209039893
G1E,27753,14733,14031,1.977977336
G1G,24975,11493,11206,2.228716759
G1H,29618,15572,14939,1.98259589
G1J,23325,14182,13227,1.763438421
G1K,18911,12884,11435,1.653782247
G1L,22024,13773,12769,1.724802255
G1M,20770,10538,10025,2.071820449
G1N,8400,5363,4996,1.681345076
G1P,16538,8450,8071,2.049064552
G1R,16423,12386,10464,1.5694763
G1S,25912,14792,13656,1.897480961
G1T,6797,2937,2792,2.434455587
G1V,23629,15426,12271,1.925596936
G1W,22499,11121,10476,2.147670867
G1X,26746,13699,12979,2.06071346
G1Y,12738,5703,5484,2.322757112
G2A,15350,6729,6528,2.351409314
G2B,24936,11616,11263,2.213974962
G2C,12283,6191,5912,2.077638701
G2E,21054,9337,9111,2.310833059
G2G,10790,4911,4773,2.260632726
G2J,3223,1885,1772,1.818848758
G2K,12845,6994,6430,1.997667185
G2L,14609,6939,6669,2.190583296
G2M,5625,2306,2256,2.493351064
G2N,8486,3600,3495,2.428040057
G3A,20233,8604,8286,2.441829592
G3B,8315,3268,3133,2.654005745
G3C,10434,4723,4161,2.507570296
G3E,16115,6379,6270,2.570175439
G3G,10026,4179,4070,2.463390663
G3H,10142,4352,4186,2.422838032
G3J,10635,4697,4530,2.347682119
G3K,20396,8121,7961,2.5619897
G3L,11103,5743,4970,2.234004024
G3M,7436,3410,3300,2.253333333
G3N,11114,5037,4473,2.484685893
G3S,6647,2511,2397,2.773049645
G3Z,7371,3782,3427,2.150860811
G4A,3063,1489,1428,2.144957983
G4R,20327,10109,8958,2.269144898
G4S,4931,2266,2159,2.283927744
G4T,12654,6665,5830,2.170497427
G4V,6288,3463,3121,2.014738866
G4W,13988,7483,6997,1.99914249
G4X,15063,7352,6780,2.221681416
G4Z,9389,4782,4379,2.144096826
G5A,8283,4582,3843,2.155347385
G5B,5976,2919,2642,2.261922786
G5C,11390,5547,5231,2.177403938
G5H,6974,3433,3257,2.141234265
G5J,6010,3035,2855,2.105078809
G5L,28733,15887,14824,1.938275769
G5M,8829,3884,3802,2.322198843
G5N,8375,3657,3525,2.375886525
G5R,20118,10045,9482,2.121704282
G5T,2884,1518,1385,2.082310469
G5V,10999,5801,5464,2.012994143
G5X,6181,2874,2722,2.270756796
G5Y,23088,11764,11252,2.051901884
G5Z,7603,3408,3281,2.317281317
G6A,2546,1000,993,2.563947633
G6B,8404,4432,4052,2.074037512
G6C,7959,3512,3382,2.353341218
G6E,13110,5618,5489,2.38841319
G6G,20356,10330,9609,2.118430638
G6H,7097,3413,3208,2.212281796
G6J,10627,4358,4256,2.496945489
G6K,8237,3236,3191,2.581322469
G6L,15293,7452,7003,2.183778381
G6P,29578,15475,14480,2.042679558
G6R,4702,1834,1797,2.616583194
G6S,5384,2370,2205,2.441723356
G6T,11201,4647,4558,2.457437473
G6V,32034,16976,15915,2.012818096
G6W,25242,12252,11837,2.132465996
G6X,9307,4796,4625,2.012324324
G6Y,7232,3071,2995,2.414691152
G6Z,23582,9564,9392,2.510860307
G7A,25429,10423,10142,2.507296391
G7B,17614,8450,8075,2.18130031
G7G,16414,7383,7168,2.289899554
G7H,28684,15376,14395,1.992636332
G7J,14443,7388,7078,2.040548177
G7K,762,381,374,2.037433155
G7N,6389,2739,2629,2.430201598
G7P,7418,3278,3097,2.395221182
G7S,19807,8818,8550,2.316608187
G7T,1640,720,706,2.322946176
G7X,25550,13829,12829,1.991581573
G7Y,628,300,289,2.173010381
G7Z,2638,1094,1078,2.447124304
G8A,6033,2845,2710,2.226199262
G8B,22060,10927,10359,2.129549184
G8C,4412,1888,1867,2.363149438
G8E,3837,1665,1577,2.433100824
G8G,4121,2075,1806,2.281838317
G8H,10040,4946,4612,2.176929748
G8J,4259,2529,1884,2.260615711
G8K,10089,5169,4686,2.153008963
G8L,14282,7227,6518,2.191162933
G8M,5173,2369,2250,2.299111111
G8N,2511,1263,1082,2.320702403
G8P,7310,3590,3222,2.268777157
G8T,27831,14646,14025,1.984385027
G8V,9956,4242,4163,2.391544559
G8W,11010,4962,4785,2.300940439
G8Y,33298,16364,15794,2.108268963
G8Z,13972,7785,6983,2.00085923
G9A,20399,12524,11508,1.772592979
G9B,18680,8252,7961,2.34643889
G9C,4017,1636,1603,2.505926388
G9H,13559,6345,6033,2.247472236
G9N,16125,9676,8702,1.853022294
G9P,11567,5881,5627,2.055624667
G9R,2324,1058,991,2.345105954
G9T,15940,8679,8003,1.991753093
G9X,10610,6133,5258,2.01787752
H1A,33158,14941,14532,2.281723094
H1B,20651,9718,9442,2.187142555
H1C,15085,4930,4856,3.106466227
H1E,42568,17190,16674,2.552956699
H1G,50989,21276,20282,2.514002564
H1H,37847,17094,16134,2.345791496
H1J,10587,4928,4797,2.207004378
H1K,37304,15402,14843,2.513238564
H1L,34612,17646,16735,2.068240215
H1M,29352,14536,13806,2.12603216
H1N,24444,12731,12046,2.029221318
H1P,18118,7662,7370,2.45834464
H1R,31259,12416,11848,2.638335584
H1S,26715,11089,10622,2.515063077
H1T,31318,16461,15569,2.011561436
H1V,21908,12588,11829,1.8520585
H1W,30004,17687,16602,1.807252138
H1X,30178,16827,15800,1.91
H1Y,29286,16145,15217,1.92455806
H1Z,36487,14837,14071,2.593063748
H2A,19454,9248,8753,2.222552268
H2B,18049,9341,8728,2.067942255
H2C,17976,9001,8502,2.114326041
H2E,23507,12660,11754,1.999914923
H2G,22115,12862,12002,1.842609565
H2H,14728,8542,7953,1.851879794
H2J,27028,16179,14975,1.804874791
H2K,29084,18011,16590,1.75310428
H2L,27057,17542,15492,1.74651433
H2M,18468,9440,8941,2.065540767
H2N,6442,2936,2744,2.347667638
H2P,14388,8017,7468,1.926620246
H2R,22987,13379,12460,1.844863563
H2S,27217,16198,15060,1.807237716
H2T,16297,9219,8458,1.92681485
H2V,31998,13860,12682,2.523103611
H2W,11508,6881,6108,1.884086444
H2X,21548,15925,12845,1.677539899
H2Y,3727,2988,2262,1.647656941
H2Z,3757,3036,2349,1.599404002
H3A,4360,3722,2680,1.626865672
H3B,1900,1566,1136,1.672535211
H3C,18583,13197,11178,1.662461979
H3E,21565,10843,10288,2.096131415
H3G,11424,9041,6878,1.66094795
H3H,20690,15061,12347,1.675710699
H3J,11915,6169,5627,2.117469344
H3K,15275,8472,7835,1.949585195
H3L,20996,10593,9857,2.130059856
H3M,15840,6801,6447,2.456956724
H3N,29080,13287,12308,2.362690933
H3P,10172,3862,3700,2.749189189
H3R,10108,3847,3591,2.814814815
H3S,33618,16188,14794,2.272407733
H3T,13009,7418,6510,1.998310292
H3V,6732,4518,4007,1.680059895
H3W,30766,13718,12706,2.421375728
H3X,24214,11454,10526,2.300399012
H3Y,9564,3665,3427,2.790779107
H3Z,11544,6609,5887,1.960930865
H4A,26362,13091,12124,2.174364896
H4B,20937,11150,10524,1.98945268
H4C,17301,10371,9492,1.822692794
H4E,30154,15696,14731,2.046975765
H4G,29860,16856,15812,1.88843916
H4H,18936,9482,8969,2.11127216
H4J,18075,7771,7341,2.462198611
H4K,11319,4158,4002,2.828335832
H4L,36216,15190,14174,2.555100889
H4M,12466,4896,4588,2.717088056
H4N,30199,12999,12070,2.501988401
H4P,9106,4787,4427,2.056923424
H4R,31132,12654,12130,2.566529266
H4S,567,226,216,2.625
H4T,0,2,1,0
H4V,20701,9834,9179,2.255256564
H4W,26359,11415,10709,2.461387618
H4X,6467,2654,2533,2.553099092
H7A,21639,7584,7460,2.900670241
H7B,2957,1077,1058,2.79489603
H7C,8816,3760,3509,2.512396694
H7E,26590,10345,10149,2.619962558
H7G,22054,9435,9075,2.430192837
H7H,13865,5078,5018,2.763053009
H7J,2161,905,875,2.469714286
H7K,22475,8406,8210,2.737515225
H7L,37893,13780,13556,2.795293597
H7M,27729,10868,10625,2.609788235
H7N,44641,21408,20354,2.193229832
H7P,37456,14684,14332,2.613452414
H7R,31001,11519,11256,2.754175551
H7S,7752,3332,3246,2.388170055
H7T,28213,12129,11491,2.455225829
H7V,23242,10593,9731,2.388449286
H7W,42580,17932,16908,2.518334516
H7X,27332,9843,9547,2.862888866
H7Y,9978,3442,3390,2.943362832
H8N,33207,14934,14145,2.347613998
H8P,22980,11083,10474,2.194004201
H8R,31491,14411,13602,2.315174239
H8S,25686,12363,11635,2.207649334
H8T,15270,7055,6834,2.234416155
H8Y,19915,7852,7625,2.611803279
H8Z,15127,5822,5637,2.683519603
H9A,15267,5392,5264,2.900265957
H9B,21104,7757,7578,2.784903669
H9C,11725,4211,4137,2.834179357
H9E,3190,1256,1208,2.640728477
H9G,15346,5852,5737,2.674917204
H9H,25097,9638,9377,2.676442359
H9J,21393,7684,7529,2.841413202
H9K,8898,3087,3027,2.939544103
H9P,3836,1547,1512,2.537037037
H9R,26002,10270,9918,2.621697923
H9S,22984,11143,10624,2.163403614
H9W,19277,6915,6753,2.854583148
H9X,9744,4057,3786,2.573692552
J0A,19149,9020,8239,2.324189829
J0B,65700,32981,28136,2.335086722
J0C,23445,10332,9786,2.395769467
J0E,51896,28558,23186,2.238247218
J0G,18624,9267,8497,2.191832411
J0H,52946,22956,22054,2.400743629
J0J,42141,19527,17743,2.375077495
J0K,149238,78999,67140,2.222788204
J0L,83316,34423,33387,2.495462306
J0M,25104,7885,6649,3.775605354
J0N,52112,20731,20252,2.573177958
J0P,42965,18635,17819,2.411190302
J0R,39041,21353,18062,2.16149928
J0S,34124,16563,14780,2.30879567
J0T,51466,42290,26033,1.97695233
J0V,27294,17146,12908,2.114502634
J0W,16608,11615,8138,2.040796264
J0X,48487,32403,21788,2.225399302
J0Y,29035,14125,12282,2.36402866
J0Z,34456,17493,15058,2.288218887
J1A,9132,4382,4115,2.219198056
J1C,6841,2822,2754,2.484023239
J1E,25866,13498,12658,2.043450782
J1G,19632,9625,9139,2.148156253
J1H,29653,17353,15597,1.901198949
J1J,15452,7824,7301,2.116422408
J1K,7435,4157,3450,2.155072464
J1L,16036,8523,8214,1.952276601
J1M,5923,3020,2624,2.257240854
J1N,35087,14900,14511,2.41795879
J1R,10960,4288,4219,2.597771984
J1S,7862,3638,3439,2.286129689
J1T,7993,4117,3873,2.063774852
J1X,33945,18571,15965,2.126213592
J1Z,5742,2269,2185,2.62791762
J2A,12264,5093,4951,2.477075338
J2B,33110,15949,15379,2.152935822
J2C,29991,15040,14608,2.053053122
J2E,4454,2052,1998,2.229229229
J2G,28297,14957,14406,1.964251007
J2H,22474,9256,9064,2.479479259
J2J,18341,8601,8428,2.176198386
J2K,18291,8632,8273,2.210927112
J2L,11381,6263,5073,2.243445693
J2M,7238,3091,2904,2.492424242
J2N,10149,4697,4446,2.282726046
J2R,10383,4516,4408,2.355490018
J2S,29943,15567,14684,2.039158268
J2T,17072,8076,7839,2.177828805
J2W,28762,11325,11166,2.575855275
J2X,20485,8758,8467,2.419392937
J2Y,5576,2226,2186,2.550777676
J3A,9136,5560,5362,1.70384185
J3B,33908,16383,15729,2.15576324
J3E,30045,11761,11609,2.588078215
J3G,33664,14303,14017,2.401655133
J3H,26673,10992,10804,2.468807849
J3L,53680,21567,21125,2.541065089
J3M,11345,4784,4683,2.422592355
J3N,17053,6635,6561,2.599146472
J3P,25025,12702,12149,2.059840316
J3R,14452,7314,7048,2.050510783
J3T,8620,3923,3752,2.297441365
J3V,26050,10566,10383,2.508908793
J3X,21198,8538,8412,2.519971469
J3Y,66364,27993,27238,2.436449078
J3Z,5774,1842,1830,3.155191257
J4B,41743,17733,17291,2.414146088
J4G,10010,4827,4727,2.117622171
J4H,15593,8582,8195,1.902745577
J4J,31102,15546,14958,2.079288675
J4K,27024,14003,13290,2.033408578
J4L,31866,14338,13859,2.299300094
J4M,13149,4989,4938,2.662818955
J4N,11382,5258,5123,2.221745071
J4P,11249,5771,5450,2.064036697
J4R,10674,5199,4973,2.146390509
J4S,6303,3166,3061,2.059131003
J4T,19718,9007,8698,2.266957921
J4V,17033,7541,7296,2.334566886
J4W,18191,7523,7320,2.48510929
J4X,19192,7471,7160,2.680446927
J4Y,25459,10222,9835,2.5886121
J4Z,28686,12061,11572,2.478914622
J5A,29922,11491,11301,2.647730289
J5B,8319,3557,3475,2.393956835
J5C,17347,7016,6909,2.510783037
J5J,18080,7490,7211,2.507280544
J5K,17740,6807,6632,2.67490953
J5L,22965,9534,9330,2.461414791
J5M,24005,9605,9279,2.587024464
J5N,169,83,74,2.283783784
J5R,49403,20269,19780,2.497623862
J5T,14425,5973,5838,2.470880439
J5V,7340,3857,3659,2.006012572
J5W,26780,10875,10662,2.511723879
J5X,8892,3699,3587,2.47895177
J5Y,30084,11237,11081,2.714917426
J5Z,28005,11799,11596,2.415056916
J6A,34313,14891,14646,2.342823979
J6E,46434,23104,22010,2.109677419
J6J,24855,10391,10083,2.465040167
J6K,25960,10021,9834,2.639821029
J6N,16014,7479,7276,2.200934579
J6R,14626,5472,5398,2.709522045
J6S,24765,12005,11480,2.157229965
J6T,18022,8957,8593,2.097288491
J6V,14621,5613,5479,2.668552656
J6W,32422,13677,13444,2.411633442
J6X,25257,9732,9590,2.633680918
J6Y,22926,8145,7976,2.874373119
J6Z,19627,7795,7639,2.569315355
J7A,14187,5368,5277,2.688459352
J7B,13068,4496,4434,2.947225981
J7C,46679,18343,17971,2.597462579
J7E,29356,13886,13298,2.207550008
J7G,17310,7383,7233,2.393197843
J7H,8185,3706,3583,2.284398549
J7J,27644,11847,11481,2.407804198
J7K,36960,14977,14770,2.502369668
J7L,14223,5313,5211,2.729418538
J7M,24708,8884,8753,2.82280361
J7N,33449,13660,13308,2.513450556
J7P,25226,11068,10849,2.325191262
J7R,37992,15804,15388,2.468936834
J7T,29584,10677,10522,2.811632769
J7V,69657,27935,27110,2.569420878
J7W,14751,5786,5640,2.615425532
J7X,5643,2453,2411,2.340522605
J7Y,27006,13774,13297,2.030984433
J7Z,30230,15464,14740,2.050881954
J8A,10669,5597,4683,2.278240444
J8B,14012,8002,6897,2.031607945
J8C,11667,7246,5754,2.027632951
J8E,11046,8848,5435,2.032382705
J8G,8209,5104,3821,2.148390474
J8H,15142,7901,7098,2.133276979
J8L,20056,9214,8552,2.345182413
J8M,13157,5389,5241,2.510398779
J8N,13833,7543,5609,2.466215012
J8P,35320,16341,15679,2.252694687
J8R,28947,11315,11050,2.619638009
J8T,37832,18592,17667,2.141393559
J8V,27274,10576,10223,2.667905703
J8X,11782,7174,6130,1.922022838
J8Y,23803,13386,12235,1.945484266
J8Z,14814,7798,7382,2.006773232
J9A,22508,10439,9944,2.263475463
J9B,7999,3375,3040,2.63125
J9E,7664,4140,3708,2.066882416
J9H,32921,14045,13462,2.445476155
J9J,41342,16388,15717,2.630400204
J9L,14164,7211,6688,2.117822967
J9P,33008,15977,15113,2.184079931
J9T,13221,6222,5921,2.232899848
J9V,3409,1734,1579,2.158961368
J9X,22993,12407,11522,1.995573685
J9Y,10755,4455,4169,2.579755337
J9Z,7411,3717,3510,2.111396011
K0A,111626,43737,42226,2.643537157
K0B,21020,9489,8903,2.361001909
K0C,52838,22714,21675,2.437739331
K0E,39649,18426,16491,2.404281123
K0G,39862,19411,16330,2.441028781
K0H,47286,25346,19081,2.478172004
K0J,34322,19885,14903,2.303026236
K0K,115850,53153,47028,2.463426044
K0L,78142,48786,33068,2.363070037
K0M,53815,37422,23614,2.278944694
K1A,594,416,363,1.636363636
K1B,17769,6866,6707,2.649321604
K1C,37235,14312,14101,2.640592866
