period_index,scenario,new_sales_share_model,stock_share_est,year,quarter,year_q
0,Low,0.032624386,0.03,2018,1,2018-Q1
1,Low,0.034813764,0.030100287,2018,2,2018-Q2
2,Low,0.037137522,0.030246896,2018,3,2018-Q3
3,Low,0.039602189,0.030441798,2018,4,2018-Q4
4,Low,0.042214383,0.03068706,2019,1,2019-Q1
5,Low,0.044980766,0.030984845,2019,2,2019-Q2
6,Low,0.047908013,0.031337411,2019,3,2019-Q3
7,Low,0.051002764,0.031747106,2019,4,2019-Q4
8,Low,0.054271571,0.032216366,2020,1,2020-Q1
9,Low,0.057720845,0.032747709,2020,2,2020-Q2
10,Low,0.061356789,0.033343732,2020,3,2020-Q3
11,Low,0.065185336,0.034007099,2020,4,2020-Q4
12,Low,0.069212065,0.034740535,2021,1,2021-Q1
13,Low,0.073442132,0.035546819,2021,2,2021-Q2
14,Low,0.077880177,0.036428764,2021,3,2021-Q3
15,Low,0.082530241,0.037389211,2021,4,2021-Q4
16,Low,0.087395672,0.038431012,2022,1,2022-Q1
17,Low,0.092479032,0.039557013,2022,2,2022-Q2
18,Low,0.097782003,0.040770033,2022,3,2022-Q3
19,Low,0.103305295,0.042072851,2022,4,2022-Q4
20,Low,0.109048552,0.043468178,2023,1,2023-Q1
21,Low,0.115010275,0.044958639,2023,2,2023-Q2
22,Low,0.121187735,0.046546745,2023,3,2023-Q3
23,Low,0.127576909,0.048234873,2023,4,2023-Q4
24,Low,0.134172424,0.050025239,2024,1,2024-Q1
25,Low,0.140967512,0.05191987,2024,2,2024-Q2
26,Low,0.147953982,0.05392058,2024,3,2024-Q3
27,Low,0.155122217,0.056028948,2024,4,2024-Q4
28,Low,0.162461176,0.058246286,2025,1,2025-Q1
29,Low,0.169958437,0.060573622,2025,2,2025-Q2
30,Low,0.177600243,0.063011677,2025,3,2025-Q3
31,Low,0.185371581,0.065560842,2025,4,2025-Q4
32,Low,0.193256282,0.068221163,2026,1,2026-Q1
33,Low,0.20123714,0.070992329,2026,2,2026-Q2
34,Low,0.209296052,0.073873657,2026,3,2026-Q3
35,Low,0.217414173,0.076864084,2026,4,2026-Q4
