period,geography,vehicle_class,fuel,new_registrations,total_new_registrations,ev_share_new
2018-Q1,Canada,LDV,EV_total,6844,406109,0.016852618
2018-Q2,Canada,LDV,EV_total,14886,607469,0.024504954
2018-Q3,Canada,LDV,EV_total,12544,539801,0.023238193
2018-Q4,Canada,LDV,EV_total,10020,422213,0.023732097
2019-Q1,Canada,LDV,EV_total,8282,402092,0.020597276
2019-Q2,Canada,LDV,EV_total,19447,575734,0.033777752
2019-Q3,Canada,LDV,EV_total,16207,532445,0.030438825
2019-Q4,Canada,LDV,EV_total,12036,421710,0.02854094
2020-Q1,Canada,LDV,EV_total,11542,336331,0.034317384
2020-Q2,Canada,LDV,EV_total,9323,305873,0.03047997
2020-Q3,Canada,LDV,EV_total,17600,508639,0.034602144
2020-Q4,Canada,LDV,EV_total,15945,394782,0.040389379
2021-Q1,Canada,LDV,EV_total,17356,375902,0.046171609
2021-Q2,Canada,LDV,EV_total,24118,486714,0.049552715
2021-Q3,Canada,LDV,EV_total,23969,446630,0.053666346
2021-Q4,Canada,LDV,EV_total,21014,337566,0.06225153
2022-Q1,Canada,LDV,EV_total,26034,340150,0.076536822
2022-Q2,Canada,LDV,EV_total,29840,431985,0.069076473
2022-Q3,Canada,LDV,EV_total,34316,394492,0.086987822
2022-Q4,Canada,LDV,EV_total,33420,346478,0.096456341
2023-Q1,Canada,LDV,EV_total,30978,355886,0.087044728
2023-Q2,Canada,LDV,EV_total,47685,473602,0.100685808
2023-Q3,Canada,LDV,EV_total,57406,457368,0.125513809
2023-Q4,Canada,LDV,EV_total,52687,428143,0.123059352
2024-Q1,Canada,LDV,EV_total,48425,414920,0.116709245
2024-Q2,Canada,LDV,EV_total,65799,511378,0.128669986
2024-Q3,Canada,LDV,EV_total,75788,483588,0.156720183
2024-Q4,Canada,LDV,EV_total,81216,443555,0.183102434
2025-Q1,Canada,LDV,EV_total,37229,426872,0.087213497
2025-Q2,Canada,LDV,EV_total,46366,541566,0.08561468
