
FSA,SITE_ADDRESS,num_units,Average_Household_Size,Population,Total_EV_Pop,Total_EV_Pop,num_residents_baseline,ev_adoption_rate_baseline
M8W,13  BIRCHLEA AVE ,14.0,2.380450968,22381.0,408.0,368.0,33.32631355,0.01644251820740807
M2K,505  CUMMER AVE ,175.0,2.171387011,25377.0,627.0,546.0,379.9927269,0.021515545572762737
M5T,20  ST PATRICK ST ,256.0,1.986573458,17903.0,127.0,104.0,508.5628052,0.0058090822767134
M4V,268  POPLAR PLAINS RD ,59.0,1.891364082,19273.0,518.0,451.0,111.5904808,0.023400612255486952
M3N,10  SAN ROMANOWAY  ,428.0,2.99633216,40846.0,151.0,129.0,1282.430164,0.0031582039857023943
M1T,125  BONIS AVE ,263.0,2.615402056,34607.0,344.0,298.0,687.8507407,0.008610974658306124
M6C,21  RAGLAN AVE ,12.0,2.353570027,23997.0,441.0,403.0,28.24284032,0.01679376588740259
M4P,172  SHERWOOD AVE ,18.0,1.793115786,25057.0,378.0,309.0,32.27608415,0.012331883306062177
M6E,110  MARLEE AVE ,110.0,2.537301374,37684.0,271.0,239.0,279.1031511,0.0063422142023139795
M1J,3111  EGLINTON AVE E,70.0,2.928995488,37002.0,194.0,169.0,205.0296842,0.004567320685368358
M4G,855  MILLWOOD RD ,22.0,2.426095568,19598.0,680.0,596.0,53.3741025,0.030411266455760793
M4P,177  REDPATH AVE ,148.0,1.793115786,25057.0,378.0,309.0,265.3811363,0.012331883306062177
M6P,55  QUEBEC AVE ,264.0,2.096324728,39870.0,493.0,413.0,553.4297282,0.01035866566340607
M4R,20  ROSELAWN AVE ,12.0,2.197232472,11909.0,352.0,313.0,26.36678966,0.026282643378957093
M3M,2253  JANE ST ,11.0,2.616451308,24906.0,110.0,93.0,28.78096439,0.0037340399903637678
M5T,34  OXFORD ST ,189.0,1.986573458,17903.0,127.0,104.0,375.4623836,0.0058090822767134
M3N,2775  JANE ST ,198.0,2.99633216,40846.0,151.0,129.0,593.2737677,0.0031582039857023943
M1N,6  FOLCROFT AVE ,13.0,2.413191892,22976.0,321.0,301.0,31.3714946,0.013100626740947075
M8Y,164  BERRY RD ,27.0,2.202123397,21986.0,458.0,388.0,59.45733172,0.017647593923405803
M8Y,301  PARK LAWN RD ,39.0,2.202123397,21986.0,458.0,388.0,85.88281248,0.017647593923405803
M4W,40  PARK RD ,39.0,1.895180275,15296.0,624.0,506.0,73.91203073,0.033080543933054395
M6M,1296  WESTON RD ,24.0,2.648652045,42148.0,214.0,185.0,63.56764908,0.004389294865711303
M1L,30  TEESDALE PL ,278.0,2.853173023,35833.0,295.0,239.0,793.1821004,0.006669829486785924
M6G,2  VERMONT AVE ,16.0,2.348066298,30600.0,394.0,356.0,37.56906077,0.011633986928104575
M1H,1680  ELLESMERE RD ,145.0,2.77618165,23964.0,233.0,210.0,402.5463393,0.008763144717075613
M2R,623  FINCH AVE W,141.0,2.641476274,40581.0,422.0,362.0,372.4481546,0.008920430743451368
M8V,272  BIRMINGHAM ST ,10.0,1.933680845,44144.0,777.0,674.0,19.33680845,0.015268213120695904
M4L,279  WOODFIELD RD ,42.0,2.342956876,32218.0,521.0,460.0,98.40418879,0.014277732944316841
,,,,,,,,
M4G,1315  BAYVIEW AVE ,38.0,2.426095568,19598.0,680.0,596.0,92.19163158,0.030411266455760793
M9A,4875  DUNDAS ST W,56.0,2.332696715,36642.0,730.0,643.0,130.631016,0.017548168768080345
M9W,68  BERGAMOT AVE ,68.0,2.892017785,40977.0,1523.0,1526.0,196.6572094,0.03724040315298826
M5S,484  SPADINA AVE ,166.0,1.893324462,17074.0,165.0,164.0,314.2918607,0.009605247745109523
M6B,2601  BATHURST ST ,62.0,2.594707648,28534.0,310.0,273.0,160.8718742,0.009567533468844185
M4S,65  LILLIAN ST ,141.0,1.956485782,30754.0,770.0,471.0,275.8644953,0.015315080965077714
M6M,33  GABIAN WAY ,248.0,2.648652045,42148.0,214.0,185.0,656.8657072,0.004389294865711303
M6A,21  NEPTUNE DR ,10.0,2.429703615,22380.0,211.0,179.0,24.29703615,0.007998212689901698
M8Y,16  RIVERWOOD PKWY ,45.0,2.202123397,21986.0,458.0,388.0,99.09555287,0.017647593923405803
M6H,46  DELAWARE AVE ,14.0,2.270037375,43730.0,372.0,318.0,31.78052325,0.007271895723759433
M6C,147  VAUGHAN RD ,12.0,2.353570027,23997.0,441.0,403.0,28.24284032,0.01679376588740259
M6N,900  JANE ST ,40.0,2.52268739,40252.0,279.0,240.0,100.9074956,0.005962436649110604
M9M,2431  FINCH AVE W,115.0,2.969381506,24245.0,162.0,134.0,341.4788732,0.005526912765518663
M1N,3015-3017  QUEEN ST E,16.0,2.413191892,22976.0,321.0,301.0,38.61107027,0.013100626740947075
M4P,490  EGLINTON AVE E,51.0,1.793115786,25057.0,378.0,309.0,91.44890509,0.012331883306062177
